bank_id,bank_name,quarter_end_date,pred_prob,risk_bucket,npa_ratio,capital_ratio,reserve_coverage_ratio,roa,loans_to_assets,deposits_to_assets,net_charge_offs,noncurrent_loans,total_assets,total_loans,deposits
32574,MONET BANK,2025-12-31,0.9997438381990402,High,34.05811256868373,171.7511046810587,1.287772919202392,0.008630923525446046,0.11108956566638181,0.31719285152207294,0.2650534531228817,34.05811256868373,3548056,394152,1125418
58590,NANO BANC,2025-12-31,0.9996989703122349,High,24.290843673464867,8.811051980494893,2.4921594775201417,-0.0750969163952474,0.6035339187377032,0.8375885851863961,4.80990055664304,24.290843673464867,874723,527925,732658
23242,CALIFORNIA PACIFIC BANK,2025-12-31,0.9985099034156357,High,16.954125631474206,43.19806526533352,7.520283716895443,0.013441330547636446,0.7460967652295627,0.569496619083396,0,16.954125631474206,97163,72493,55334
8122,FIRST&PEOPLES BANK&TRUST CO,2025-12-31,0.998202151461254,High,17.933093589060558,0,4.178875865743207,-0.006894778212306767,0.4188832497161544,0.9163116575609661,2.85911257544293,17.933093589060558,206098,86331,188850
34519,MERRICK BANK,2025-12-31,0.9978797972761836,High,3.932169978150499,20.094327575662167,15.33469126770288,0.010771945469039222,0.8159380649345386,0.7838303000824179,11.403178003699752,3.932169978150499,9251625,7548753,7251704
10816,GRAND RIVERS COMMUNITY BANK,2025-12-31,0.9974641894230833,High,15.941550400396268,10.155706937300153,4.540576240402873,-0.02373905164602839,0.6984596798550287,0.8917547568710359,0,15.941550400396268,16555,11563,14763
28480,COLUMBIA SAVINGS&LOAN ASSN,2025-12-31,0.9962180830148825,High,19.01974727859526,10.446764598761686,1.1377933373447842,-0.014274024911355578,0.8215746886080553,0.8850350031821075,0.2043789500162455,19.01974727859526,21998,18073,19469
57570,COMENITY CAPITAL BANK,2025-12-31,0.9867101145912622,High,3.70697203401238,13.460081330802614,11.445286222765338,0.015392342179508687,0.7584374618860656,0.7665548584542963,8.178756642898872,3.70697203401238,13626906,10335156,10445771
25620,CREDIT ONE BANK NA,2025-12-31,0.981786108589552,High,3.601293578340921,0,14.538378047276511,0.26149305613821516,0.7435197657632096,0.5519290821471231,12.069463723326823,3.601293578340921,1966557,1462174,1085400
27503,BERKSHIRE BANK,2025-12-31,0.9756838338794446,High,10.8866612343901,84.71966911764706,6.113206116996078,0.007549301656968235,0.27712779742738297,0.7536846894046885,0,10.8866612343901,536341,148635,404232
10120,AMERICAN TRUST&SAVINGS BANK,2025-12-31,0.9753757528629907,High,9.15032679738562,39.72224478193779,6.424358361230671,-0.006268174474959612,0.18966074313408723,0.8423909531502424,-1.4058741827297672,9.15032679738562,30950,5870,26072
27499,COMENITY BANK,2025-12-31,0.9711535411639992,High,3.5748455488160467,15.11045916609272,11.397091255709588,0.04838589132271298,0.7713697824505917,0.4823668594219609,6.995200151434024,3.5748455488160467,7760444,5986172,3743381
27010,YOUNG AMERICANS BANK,2025-12-31,0.9660691638774599,High,2.380952380952381,465.9751037344398,14.285714285714285,-0.1412167734568293,0.00228382922032608,0.8414641882890312,0,2.380952380952381,15763,36,13264
33492,CRESCENT BANK,2025-12-31,0.9583849859283358,High,3.854578958979483,15.492820162156882,8.303118389805213,0.013395431405176532,0.7275967098868148,0.87009345601924315,11.231601144215643,3.854578958979483,971152,706607,844993
27314,SYNCHRONY BANK,2025-12-31,0.9578662520494076,High,2.202119152339064,13.704576480180094,10.173930427828868,0.02901485082281586,0.801516300227445,0.7436649868438657,5.657614619611564,2.202119152339064,112115000,89862000,83376000
10872,CHESTERFIELD STATE BANK,2025-12-31,0.956920726295744,High,12.40913811007269,13.892843276821534,1.2396157840083073,0.004793644996347699,0.6947132943754566,0.9039444850255661,-0.09935172996199795,12.40913811007269,21904,15217,19800
4063,MIDFIRST BANK,2025-12-31,0.9557080616119161,High,14.743662109249792,18.52775294318274,0.6921184029850606,0.011549770959014261,0.7676701511986938,0.5936855676053032,0.01136657898799659,14.743662109249792,41367487,31756585,24559280
15820,RED RIVER STATE BANK,2025-12-31,0.953365792040393,High,12.11350032406878,0,1.138053299782683,0.0055666334330342305,0.861764705882353,0.8574526420737787,0.726316389115698,12.11350032406878,120360,103722,103203
25796,COMMUNITY B&T WEST GEORGIA,2025-12-31,0.9459029000067507,High,10.154339253075523,8.414346754090024,2.455706676861681,0.015616488736074054,0.6462193941454648,0.9308551424080826,5.170512771949726,10.154339253075523,288221,186254,268292
2308,WASHITA VALLEY BANK,2025-12-31,0.9375064048833219,High,11.045414517549377,17.32994278448824,2.082022895961756,0.007420512064474913,0.51000049142464,0.8595999803430144,0.4143353398212723,11.045414517549377,61047,31134,52476
